iter	Logloss
155	0.4730203759
156	0.4722093723
157	0.4711253011
158	0.4703556951
159	0.4691949314
160	0.4678940024
161	0.4669105294
162	0.465964917
163	0.4653009797
164	0.4643775921
165	0.4635645636
166	0.4626190236
167	0.4616462544
168	0.4604485249
169	0.4596479518
170	0.4583988958
171	0.4573811112
172	0.4564198492
173	0.4552838942
174	0.4541782865
175	0.4530460442
176	0.4521130858
177	0.4511895664
178	0.4507167364
179	0.4492475844
180	0.44806473
181	0.4470213376
182	0.4461314311
183	0.4450496168
184	0.4444515906
185	0.4431880038
186	0.4417116558
187	0.4408835543
188	0.4400333901
189	0.4389551917
190	0.4379994702
191	0.436996587
192	0.4360032121
193	0.4348603208
194	0.4342624331
195	0.4332618699
196	0.4321916981
197	0.4314675256
198	0.4303455163
199	0.4295722522
200	0.4288294449
201	0.4277746767
202	0.4270173623
203	0.4260610119
204	0.4252918797
205	0.4245293101
206	0.4237523678
207	0.4224304468
208	0.4214109943
209	0.4200833755
210	0.4191654004
211	0.4185370469
212	0.4178537431
213	0.4167068695
214	0.4154864967
215	0.4144123681
216	0.413958894
217	0.4131489563
218	0.4120579365
219	0.4112282941
220	0.4102245346
221	0.4090774758
222	0.4081939723
223	0.4074049581
224	0.4066311185
225	0.4055883052
226	0.4049506265
227	0.4037677016
228	0.4025977039
229	0.4013445057
230	0.4005892346
231	0.3995274464
232	0.3989033095
233	0.3980690422
234	0.3969794866
235	0.3961453104
236	0.3956113931
237	0.394898721
238	0.3937022073
239	0.3931812329
240	0.3924812616
241	0.3918186577
242	0.3909628656
243	0.3902216785
244	0.3897446681
245	0.388945338
246	0.3882670884
247	0.3873831156
248	0.3863889372
249	0.3850346497
250	0.3842370755
251	0.3833662817
252	0.3822410438
253	0.3812897534
254	0.3805328814
255	0.3800184392
256	0.3794016309
257	0.3787069452
258	0.3778775609
259	0.3767014976
260	0.3759300278
261	0.375143356
262	0.3744502054
263	0.3738728388
264	0.3731433182
265	0.372644174
266	0.3716628389
267	0.370783746
268	0.369930612
269	0.3691707506
270	0.3685347331
271	0.3675074834
272	0.3667779749
273	0.3661861393
274	0.3651430805
275	0.3643995762
276	0.3637444577
277	0.3632008758
278	0.3622731841
279	0.3616696418
280	0.3611680212
281	0.3605135626
282	0.3597528295
283	0.3593238358
284	0.3587523582
285	0.3581147269
286	0.3576272381
287	0.3566564348
288	0.3557313252
289	0.3551269466
290	0.354557155
291	0.3537512089
292	0.3531340093
293	0.3524294801
294	0.3515755338
295	0.3508401676
296	0.3499309937
297	0.3493159993
298	0.3486974457
299	0.3479174183
300	0.3473556173
301	0.3464877825
302	0.3458066544
303	0.3452545109
304	0.3447532409
305	0.3439509763
306	0.3428430566
307	0.3423260069
308	0.3417580323
309	0.3412030648
310	0.3408293769
311	0.3402741719
312	0.3395709525
313	0.3387447512
314	0.338216804
315	0.3374724423
316	0.3369556206
317	0.3364395308
318	0.3357078206
319	0.3349155129
320	0.3340788975
321	0.3333540329
322	0.3326503038
323	0.3321381295
324	0.3316275704
325	0.331092643
326	0.3306930908
327	0.3301073942
328	0.3290901921
329	0.3285240943
330	0.3277058845
331	0.3270856007
332	0.3265021485
333	0.3260073676
334	0.3256059261
335	0.3248750073
336	0.3242680107
337	0.3235527798
338	0.3228386663
339	0.3223436336
340	0.3213506508
341	0.3207164936
342	0.319996909
343	0.3193944239
344	0.3187085091
345	0.3183865717
346	0.3177069618
347	0.3170869999
348	0.3164510565
349	0.3158254782
350	0.3149050494
351	0.3145160622
352	0.3140453939
353	0.3134599428
354	0.3128427906
355	0.3121778015
356	0.3116667383
357	0.3110678686
358	0.3100094426
359	0.3095517416
360	0.3088438399
361	0.30838917
362	0.3078801735
363	0.3069857913
364	0.3064763345
365	0.3058475076
366	0.3054300544
367	0.3048663492
368	0.3045554277
369	0.3039124817
370	0.303211285
371	0.3027209755
372	0.3021504782
373	0.3017209458
374	0.3011743549
375	0.3007613579
376	0.300450614
377	0.3000223965
378	0.2993529545
379	0.2987011205
380	0.298209007
381	0.2974882978
382	0.2968464171
383	0.2961931911
384	0.295527095
385	0.295153241
386	0.2944728887
387	0.2937817096
388	0.2934615133
389	0.2927855615
390	0.2922816338
391	0.2918711612
392	0.2912245457
393	0.290597391
394	0.2900486463
395	0.2894280629
396	0.2889937921
397	0.2886503365
398	0.2880871832
399	0.2875391512
400	0.286883794
401	0.2863152648
402	0.2856160955
403	0.2851400338
404	0.2844743478
405	0.2837761794
406	0.2833901024
407	0.2828051062
408	0.2824754038
409	0.2816852507
410	0.2813304581
411	0.2807668411
412	0.2803535723
413	0.2797259477
414	0.2791981758
415	0.2787282428
416	0.2783492334
417	0.2778508677
418	0.2772190894
419	0.2767452283
420	0.2764231606
421	0.2758582566
422	0.2754788378
423	0.2749466055
424	0.2743444025
425	0.273748524
426	0.2733304481
427	0.272863667
428	0.2723209284
429	0.2715259655
430	0.2710820679
431	0.2703974403
432	0.2699909565
433	0.2694738368
434	0.2691555264
435	0.2687377948
436	0.2681107727
437	0.2676089964
438	0.2671868244
439	0.2664130217
440	0.2658936464
441	0.2653312797
442	0.2649058736
443	0.2645626276
444	0.263863064
445	0.2632771885
446	0.2629514061
447	0.2625764845
448	0.2618466599
449	0.2613184238
450	0.2609728594
451	0.2606090438
452	0.2602762513
453	0.2598685884
454	0.2593136672
455	0.2589189374
456	0.2585023706
457	0.2580679805
458	0.2576049197
459	0.2573550942
460	0.2568290144
461	0.2564032348
462	0.2560299301
463	0.2554845973
464	0.2549477834
465	0.2544017341
466	0.2541439867
467	0.2535031003
468	0.253124609
469	0.2528281646
470	0.2524012511
471	0.2520203074
472	0.2514487371
473	0.2507418391
474	0.250304283
475	0.249787245
476	0.2492982419
477	0.2490364235
478	0.2485801412
479	0.2482607469
480	0.2478616786
481	0.2475519994
482	0.2472601136
483	0.2468714405
484	0.2463845336
485	0.2460670261
486	0.2455947697
487	0.245207111
488	0.244700691
489	0.244182415
490	0.2436663861
491	0.2434572774
492	0.2428465537
493	0.2421797903
494	0.2418652043
495	0.241498089
496	0.241155613
497	0.2407065264
498	0.2403707439
499	0.2398892244
500	0.239350547
501	0.2389238797
502	0.2386173692
503	0.2381808652
504	0.2375695109
505	0.2371364137
506	0.2367305861
507	0.2363697714
508	0.2361634659
509	0.2358198525
510	0.2354678098
511	0.2352278291
512	0.234603589
513	0.2342176308
514	0.2337544811
515	0.233361368
516	0.2330276952
517	0.2327683249
518	0.2324978093
519	0.232047587
520	0.2316479212
521	0.2311347873
522	0.230638916
523	0.2302589034
524	0.2297405741
525	0.229154793
526	0.2288598114
527	0.2285604075
528	0.2280939493
529	0.2276146767
530	0.2271849211
531	0.2266355297
532	0.2261742999
533	0.2256971401
534	0.2252123188
535	0.2248018069
536	0.2245394514
537	0.2242114976
538	0.2238045652
539	0.2234145237
540	0.2231151709
541	0.2225736282
542	0.222274905
543	0.2220058705
544	0.221675948
545	0.2212779322
546	0.2209184453
547	0.2202836882
548	0.2199144699
549	0.2196238574
550	0.219203119
551	0.2190394377
552	0.2187542892
553	0.2182887502
554	0.217882072
555	0.2173862723
556	0.2171159495
557	0.2168652523
558	0.2163871573
559	0.2160692576
560	0.215583622
561	0.215232431
562	0.214910358
563	0.2145304385
564	0.2141205405
565	0.2138534864
566	0.2135360907
567	0.2131866287
568	0.2126391887
569	0.2123322497
570	0.2121097947
571	0.211730692
572	0.2114088215
573	0.2110942166
574	0.2107756824
575	0.2104130248
576	0.2100975708
577	0.2097091021
578	0.209460313
579	0.2091533742
580	0.2087760873
581	0.2085072452
582	0.2081387972
583	0.2076706042
584	0.207313906
585	0.2069907074
586	0.2067132768
587	0.2065580906
588	0.2062362538
589	0.2058314218
590	0.2056101581
591	0.2052528624
592	0.2049761438
593	0.2046391401
594	0.2043354147
595	0.2040824082
596	0.2038522179
597	0.2034941043
598	0.2030724504
599	0.2027974433
600	0.2024155132
601	0.2021350353
602	0.2018488231
603	0.2016477025
604	0.2011652332
605	0.2010127375
606	0.2007672633
607	0.2004249456
608	0.2002262321
609	0.2000688569
610	0.199829006
611	0.199492239
612	0.1992079259
613	0.1988809073
614	0.1985715077
615	0.198389214
616	0.1981215983
617	0.1976780426
618	0.19747285
619	0.1972071747
620	0.1968137222
621	0.1965212743
622	0.1960968016
623	0.1956669
624	0.1954705371
625	0.1950066371
626	0.1947126563
627	0.1943692605
628	0.1938946862
629	0.1935724027
630	0.1932355748
631	0.1928488853
632	0.1924538349
633	0.1921609759
634	0.1917616329
635	0.1915336991
636	0.1911677664
637	0.1907795703
638	0.1904052547
639	0.1901175347
640	0.1899067513
641	0.1895761929
642	0.1893149891
643	0.1890351034
644	0.1886781226
645	0.188299098
646	0.188045841
647	0.1877071288
648	0.187317881
649	0.1871048968
650	0.1868416795
651	0.1866273375
652	0.1863934634
653	0.1860919003
654	0.1858649997
655	0.1855195084
656	0.1852356879
657	0.1851109252
658	0.1847758386
659	0.1844713579
660	0.1841303623
661	0.1837404459
662	0.1834679295
663	0.1832417167
664	0.1828827862
665	0.1825699015
666	0.1821528833
667	0.1818175315
668	0.1816129185
669	0.1812856004
670	0.181017096
671	0.1806919911
672	0.1804117077
673	0.1801544848
674	0.1798507149
675	0.1795685499
676	0.1793731585
677	0.1790120928
678	0.1788365936
679	0.1785429989
680	0.1782004419
681	0.1779712911
682	0.1776162954
683	0.1774178858
684	0.1771585379
685	0.1769162404
686	0.1764854727
687	0.1762657684
688	0.1760350553
689	0.1758707269
690	0.1757425429
691	0.1755664615
692	0.1753526136
693	0.1750574883
694	0.1747187427
695	0.1745774736
696	0.1743652299
697	0.1739118392
698	0.1737058793
699	0.1733654776
700	0.1730641061
701	0.1727311029
702	0.172570026
703	0.1723683434
704	0.1720666025
705	0.1718605956
706	0.1716225344
707	0.1713411001
708	0.1711360346
709	0.1706571326
710	0.170389764
711	0.170206767
712	0.1700425587
713	0.1698306286
714	0.1694480832
715	0.1692172292
716	0.1689259012
717	0.1685445032
718	0.1683195293
719	0.1680492881
720	0.16778607
721	0.1675346315
722	0.1672570916
723	0.1670561861
724	0.1668820162
725	0.1666680405
726	0.1665062011
727	0.1661719883
728	0.1659656567
729	0.1657069118
730	0.1655104153
731	0.1652268441
732	0.1649839208
733	0.1647775892
734	0.1645380889
735	0.1642916564
736	0.1640622168
737	0.1638471614
738	0.163595504
739	0.1634421019
740	0.1632445187
741	0.1629517009
742	0.1627409944
743	0.162455213
744	0.1620759627
745	0.1618032123
746	0.1614869563
747	0.1611937949
748	0.1609617234
749	0.1608355013
750	0.1605277495
751	0.1602629312
752	0.1599910378
753	0.1597164202
754	0.1594283949
755	0.1592436904
756	0.158956753
757	0.1585709046
758	0.1583980364
759	0.1581958974
760	0.1579292242
761	0.157705983
762	0.1574096937
763	0.1571185101
764	0.1568654927
765	0.1565152146
766	0.1563080865
767	0.1561090378
768	0.1558852155
769	0.1556199753
770	0.1554760147
771	0.1552699212
772	0.1549915939
773	0.1547369162
774	0.154555125
775	0.1543506603
776	0.1541210896
777	0.153937899
778	0.1537031098
779	0.1533893039
780	0.15310107
781	0.1528652263
782	0.1526374108
783	0.1524256627
784	0.1521667357
785	0.1519262765
786	0.1516523268
787	0.1513750985
788	0.1512098805
789	0.1509272206
790	0.1507792749
791	0.1505967266
792	0.1502987183
793	0.1501100054
794	0.1499327694
795	0.1496784569
796	0.1494299022
797	0.1492132782
798	0.1489072338
799	0.1486468262
800	0.1484899314
801	0.1482645629
802	0.1480983841
803	0.1479323189
804	0.1477084457
805	0.1475235449
806	0.1473344906
807	0.1472216225
808	0.1469991773
809	0.146829722
810	0.1465874218
811	0.1463781344
812	0.1462462963
813	0.1460929918
814	0.1459119166
815	0.1456877852
816	0.1454175405
817	0.1451725916
818	0.144847537
819	0.1446799625
820	0.1445815639
821	0.1443884041
822	0.144095869
823	0.1438482998
824	0.1436734578
825	0.1434630451
826	0.1432674925
827	0.1430257125
828	0.142920247
829	0.1426805539
830	0.1423949663
831	0.1422936762
832	0.1420272521
833	0.1417590574
834	0.1415656985
835	0.1413203866
836	0.1411013229
837	0.1407909636
838	0.1405436677
839	0.1403404118
840	0.1401335512
841	0.1398878196
842	0.139666276
843	0.139419283
844	0.1392289418
845	0.1389568489
846	0.1387075161
847	0.1385920365
848	0.1384777783
849	0.1382793939
850	0.138075332
851	0.1378781742
852	0.1377009204
853	0.1374648871
854	0.1371696557
855	0.1369103873
856	0.1367064257
857	0.1365047947
858	0.1363180305
859	0.1361195581
860	0.1359218087
861	0.1357151533
862	0.1355007479
863	0.135333614
864	0.1351684964
865	0.1349700836
866	0.1347542725
867	0.1345536326
868	0.1344187313
869	0.1341117549
870	0.133956932
871	0.1337719647
872	0.1335931641
873	0.1333930433
874	0.1331891069
875	0.1329930464
876	0.132836209
877	0.1326005492
878	0.1324286902
879	0.1322822821
880	0.1320856116
881	0.1319151693
882	0.1317394514
883	0.1315602381
884	0.1313730188
885	0.1312852805
886	0.1311669006
887	0.1310989547
888	0.1309103363
889	0.1307278702
890	0.1305155965
891	0.1303359075
892	0.1300822031
893	0.1298714304
894	0.1296797126
895	0.129528947
896	0.1293361606
897	0.1291058945
898	0.1289827119
899	0.1288127374
900	0.1286919136
901	0.128481189
902	0.1283060597
903	0.128128067
904	0.1279349541
905	0.127710786
906	0.1275799829
907	0.127393951
908	0.1272117405
909	0.1271075675
910	0.1268883697
911	0.1266731037
912	0.12647376
913	0.1263621115
914	0.1261876307
915	0.1260380028
916	0.125847077
917	0.1257167608
918	0.125525734
919	0.1252865282
920	0.1251582237
921	0.1249098058
922	0.1248002186
923	0.1245891181
924	0.12447941
925	0.1242835446
926	0.1241104988
927	0.1239140908
928	0.1237352716
929	0.1235951124
930	0.1234547733
931	0.1232637257
932	0.1231033643
933	0.1229626167
934	0.1228518085
935	0.1227102308
936	0.1224933777
937	0.1222784722
938	0.1221164254
939	0.1219456932
940	0.1217886808
941	0.1215926353
942	0.1214727679
943	0.1212521392
944	0.1210147124
945	0.1208678472
946	0.1207438573
947	0.1205669468
948	0.1204244352
949	0.120153367
950	0.1199520409
951	0.1198182904
952	0.1197138504
953	0.1195752998
954	0.1194814135
955	0.1193218297
956	0.1192093478
957	0.1191174719
958	0.1189147378
959	0.1187769444
960	0.1185952551
961	0.1184216583
962	0.1182965839
963	0.1181353556
964	0.1179893252
965	0.1178264259
966	0.1176677757
967	0.117486962
968	0.1173255562
969	0.1171088579
970	0.1169873553
971	0.1167743616
972	0.11663201
973	0.1164636114
974	0.116271946
975	0.1160894907
976	0.1159241758
977	0.1158352678
978	0.1155990889
979	0.1155136255
980	0.1154354746
981	0.1152620863
982	0.1151016157
983	0.1149043642
984	0.1147275049
985	0.1145686173
986	0.1144523572
987	0.1141943152
988	0.1140534324
989	0.1139464763
990	0.1137893637
991	0.1137124217
992	0.1135490661
993	0.1133403429
994	0.113174422
995	0.1130339835
996	0.1129109846
997	0.1127795791
998	0.1126301735
999	0.1124992551
