date,germany-1_close,germany-1_var,u.s.-1_close,u.s.-1_var,brazil-1_close,brazil-1_var,switzerland-1_close,switzerland-1_var,uk-1_close,uk-1_var,italy-1_close,italy-1_var,japan-1_close,japan-1_var,china-1_close,china-1_var,canada-1_close,canada-1_var,france-1_close,france-1_var,south-korea-1_close,south-korea-1_var,australia-1_close,australia-1_var,germany-10_close,germany-10_var,u.s.-10_close,u.s.-10_var,brazil-10_close,brazil-10_var,switzerland-10_close,switzerland-10_var,uk-10_close,uk-10_var,italy-10_close,italy-10_var,japan-10_close,japan-10_var,china-10_close,china-10_var,canada-10_close,canada-10_var,france-10_close,france-10_var,south-korea-10_close,south-korea-10_var,australia-10_close,australia-10_var
2022-02-06,,,0.8980,1.70,,,-0.640,0.00,1.1420,0.44,,,-0.076,0.66,,,,,,,1.451,0.00,0.669,10.95,,,1.910,-0.28,,,,,1.4180,0.39,,,0.197,-1.01,,,,,,,2.602,0.00,2.022,0.50
2022-02-05,,,,,,,-0.640,4.92,1.1370,-1.39,,,,,,,,,,,1.451,0.00,,,,,,,,,,,1.4125,-0.18,,,,,,,,,,,2.602,-0.65,2.012,3.29
2022-02-04,-0.577,-11.09,0.8830,15.12,12.165,0.66,-0.610,-4.69,1.1530,10.44,-0.315,-2.78,-0.076,0.00,,,1.120,6.67,-0.505,-14.41,1.451,0.35,0.603,10.44,0.2080,34.19,1.916,4.34,11.200,0.04,0.263,51.15,1.4150,2.76,1.755,4.90,0.199,11.17,,,1.856,3.05,0.649,10.56,2.619,1.99,1.948,4.67
2022-02-03,-0.649,-4.42,0.7670,3.09,12.085,-1.27,-0.640,-20.00,1.0440,14.22,-0.324,-21.93,-0.076,-3.80,,,1.050,-0.94,-0.590,-6.79,1.446,-0.82,0.546,-5.70,0.1550,342.86,1.836,3.64,11.195,0.36,0.174,112.20,1.3770,9.72,1.673,17.24,0.179,2.87,,,1.801,2.39,0.587,31.32,2.568,-0.85,1.861,-2.62
2022-02-02,-0.679,2.41,0.7440,-3.38,12.240,-0.93,-0.800,14.29,0.9140,-4.69,-0.415,7.51,-0.079,4.64,,,1.060,8.16,-0.633,-0.47,1.458,0.00,0.579,6.24,0.0350,-5.41,1.771,-1.29,11.155,-1.20,0.082,10.81,1.2550,-3.46,1.427,0.56,0.174,-2.79,,,1.759,-1.84,0.447,-0.89,2.590,0.00,1.911,0.05
2022-02-01,-0.663,0.12,0.7700,0.39,12.355,-0.52,-0.700,-1.41,0.9590,2.13,-0.386,-15.54,-0.075,4.14,,,0.980,-1.01,-0.636,0.95,1.458,0.00,0.545,-11.95,0.0370,164.29,1.795,0.61,11.290,1.90,0.074,15.62,1.3000,-0.69,1.419,3.50,0.179,2.87,,,1.792,1.24,0.451,5.62,2.590,0.00,1.910,-0.10
2022-01-31,-0.662,-0.86,0.7670,0.30,12.420,0.32,-0.710,4.41,0.9390,9.89,-0.457,-0.87,-0.072,0.00,,,0.990,-1.00,-0.630,-3.08,1.458,0.00,0.619,1.14,0.0140,-129.79,1.784,-0.39,11.080,-0.27,0.064,433.33,1.3090,5.14,1.371,1.33,0.174,7.08,,,1.770,0.63,0.427,16.99,2.590,0.00,1.912,0.90
2022-01-30,,,0.7647,1.42,,,,,0.8545,0.23,,,-0.072,-0.68,1.945,-0.51,,,,,1.458,0.00,0.612,-4.82,,,1.791,0.70,,,,,1.2450,0.16,,,0.162,-0.91,2.717,-0.29,,,,,2.590,0.00,1.895,-1.04
2022-01-29,,,,,,,-0.680,-1.45,0.8525,-1.67,,,,,1.955,-3.36,,,,,1.458,0.00,0.643,-1.08,,,,,,,,,1.2430,-0.08,,,,,2.724,0.28,,,,,2.590,0.15,1.915,-1.85
2022-01-28,-0.668,0.00,0.7540,0.67,12.380,0.16,-0.690,-13.75,0.8670,0.93,-0.461,0.88,-0.073,-3.95,2.023,1.71,1.000,0.00,-0.650,0.78,1.458,-0.14,0.650,-6.47,-0.0470,-17.54,1.778,-1.36,11.110,-3.35,0.012,-180.00,1.2440,1.22,1.353,-0.37,0.164,3.80,2.717,-0.66,1.759,-1.01,0.365,5.80,2.586,-1.00,1.951,-3.80
2022-01-27,-0.668,0.00,0.7490,10.96,12.360,1.48,-0.800,11.11,0.8590,7.11,-0.457,2.93,-0.076,-1.30,1.989,-0.40,1.000,1.01,-0.645,-0.77,1.460,0.69,0.695,6.11,-0.0570,-19.72,1.803,-3.72,11.495,1.46,-0.015,-16.67,1.2290,2.42,1.358,-3.48,0.158,14.49,2.735,0.74,1.777,-3.42,0.345,0.00,2.612,1.52,2.028,2.74
2022-01-26,-0.668,0.75,0.6750,11.39,12.180,1.42,-0.720,-1.37,0.8020,2.43,-0.444,-4.31,-0.077,-9.41,1.997,0.30,0.990,-3.88,-0.650,0.00,1.450,0.00,0.655,0.77,-0.0710,-12.35,1.873,5.44,11.330,-0.92,-0.018,-45.45,1.2000,2.74,1.407,3.46,0.138,2.99,2.715,1.61,1.840,2.00,0.345,3.60,2.573,-0.12,1.974,0.82
2022-01-25,-0.663,0.45,0.6060,9.19,12.010,-0.08,-0.730,-8.75,0.7830,4.40,-0.464,-2.32,-0.085,1.80,1.991,0.10,1.030,1.98,-0.650,3.17,1.450,0.69,0.650,8.51,-0.0810,-17.35,1.776,0.00,11.435,-0.87,-0.033,-23.26,1.1680,3.18,1.360,0.37,0.134,0.00,2.672,-0.52,1.804,-0.44,0.333,8.47,2.576,1.50,1.958,1.66
2022-01-24,-0.660,0.76,0.5550,-0.86,12.020,-0.74,-0.800,17.65,0.7500,1.21,-0.475,2.15,-0.083,-5.11,1.989,-2.16,1.010,-1.94,-0.630,-0.79,1.440,0.00,0.599,2.57,-0.0980,46.27,1.776,0.20,11.535,2.53,-0.043,186.67,1.1320,-3.29,1.355,0.00,0.134,5.51,2.686,-1.00,1.812,1.12,0.307,-7.25,2.538,-0.16,1.926,1.53
2022-01-23,,,0.5598,1.41,,,-0.680,0.00,0.7410,0.41,,,-0.088,7.32,,,,,,,1.440,0.00,0.584,-3.31,,,1.772,0.10,,,,,1.1705,0.30,,,0.127,-5.22,,,,,,,2.542,0.00,1.897,0.90
2022-01-22,,,,,,,-0.680,-6.85,0.7380,-0.94,,,,,,,,,,,1.440,0.00,0.604,5.23,-0.0670,11.67,,,,,,,1.1670,-0.26,,,,,,,,,,,2.542,0.08,1.880,-0.69
2022-01-21,-0.655,0.00,0.5520,-1.78,12.110,-0.21,-0.730,1.39,0.7450,-2.61,-0.465,-0.21,-0.082,-8.38,2.033,0.05,1.030,-2.83,-0.635,4.10,1.440,0.28,0.574,-11.15,-0.0600,122.22,1.770,-2.24,11.250,1.99,-0.015,7.14,1.1700,-4.65,1.355,-1.09,0.134,-6.29,2.713,-0.48,1.792,-2.24,0.331,-8.82,2.540,-0.66,1.893,-4.78
2022-01-20,-0.655,0.77,0.5620,4.66,12.135,0.12,-0.720,-1.37,0.7650,-2.17,-0.466,1.30,-0.090,-4.79,2.032,-0.68,1.060,-0.93,-0.610,-1.61,1.436,0.70,0.646,3.19,-0.0270,200.00,1.811,-2.31,11.030,-3.20,-0.014,-200.00,1.2270,-2.39,1.370,-2.56,0.143,6.72,2.726,-0.22,1.833,-2.55,0.363,-3.20,2.557,0.83,1.988,-0.50
2022-01-19,-0.650,0.78,0.5370,-2.36,12.120,0.08,-0.730,2.82,0.7820,3.30,-0.460,4.55,-0.094,5.62,2.046,-2.43,1.070,-1.83,-0.620,0.00,1.426,-0.97,0.626,2.12,-0.0090,-50.00,1.854,-1.14,11.395,-1.72,0.014,180.00,1.2570,3.12,1.406,1.30,0.134,-9.46,2.732,-0.87,1.881,-0.48,0.375,1.90,2.536,-0.67,1.998,3.68
2022-01-18,-0.645,1.74,0.5500,7.02,12.110,-0.41,-0.710,0.00,0.7570,4.13,-0.440,0.46,-0.089,1.14,2.097,-1.92,1.090,3.81,-0.620,-1.59,1.440,0.00,0.613,6.24,-0.0180,-30.77,1.875,3.67,11.595,0.43,0.005,-350.00,1.2190,2.35,1.388,1.68,0.148,2.78,2.756,-1.25,1.890,4.65,0.368,2.79,2.553,-0.58,1.927,0.89
